id,qname,heading,text,type,diagram,website,updated
,TravelCorridorSegment,TravelCorridorSegment,A segment that is part of a travel corridor.,Class,https://w3id.org/itsdata/transport-network/v1/diagrams/TravelCorridorSegment.dot.svg,https://w3id.org/itsdata/transport-network/v1/TravelCorridorSegment,2026-07-30T14:32:34.823307
,TravelledWayLink,TravelledWayLink,A linear feature representing a directed edge between two transport nodes in a network graph.,Class,https://w3id.org/itsdata/transport-network/v1/diagrams/TravelledWayLink.dot.svg,https://w3id.org/itsdata/transport-network/v1/TravelledWayLink,2026-07-30T14:32:34.823307
,TransportNetworkThing,TransportNetworkThing,Any transport-related geographic feature in the ITS transport-network domain. Subclass of its-location:Feature (and therefore geo:Feature).,Class,https://w3id.org/itsdata/transport-network/v1/diagrams/TransportNetworkThing.dot.svg,https://w3id.org/itsdata/transport-network/v1/TransportNetworkThing,2026-07-30T14:32:34.823307
,TravelledWayLane,TravelledWayLane,A linear feature for a single lane along a travelled way.,Class,https://w3id.org/itsdata/transport-network/v1/diagrams/TravelledWayLane.dot.svg,https://w3id.org/itsdata/transport-network/v1/TravelledWayLane,2026-07-30T14:32:34.823307
,TravelCorridor,TravelCorridor,A linear reference for a travel corridor axis (multimodal or policy corridor).,Class,https://w3id.org/itsdata/transport-network/v1/diagrams/TravelCorridor.dot.svg,https://w3id.org/itsdata/transport-network/v1/TravelCorridor,2026-07-30T14:32:34.823307
,VehicleFlowRate,VehicleFlowRate,A non-feature quantity describing vehicle flow on a network element (not a geo:Feature; use its-location:LocationThing).,Class,https://w3id.org/itsdata/transport-network/v1/diagrams/VehicleFlowRate.dot.svg,https://w3id.org/itsdata/transport-network/v1/VehicleFlowRate,2026-07-30T14:32:34.823307
,PointOnRoute,PointOnRoute,"A point feature locating a stop, timing point, or other position on a route.",Class,https://w3id.org/itsdata/transport-network/v1/diagrams/PointOnRoute.dot.svg,https://w3id.org/itsdata/transport-network/v1/PointOnRoute,2026-07-30T14:32:34.823307
,PublicTransportElement,PublicTransportElement,"Abstract element of a public transport system (line, route, stop, etc.).",Class,https://w3id.org/itsdata/transport-network/v1/diagrams/PublicTransportElement.dot.svg,https://w3id.org/itsdata/transport-network/v1/PublicTransportElement,2026-07-30T14:32:34.823307
,RoadSection,RoadSection,A contiguous section of a road in a road referencing scheme.,Class,https://w3id.org/itsdata/transport-network/v1/diagrams/RoadSection.dot.svg,https://w3id.org/itsdata/transport-network/v1/RoadSection,2026-07-30T14:32:34.823307
,MicromobilityPathSegment,MicromobilityPathSegment,A homogeneous segment of a micromobility path.,Class,https://w3id.org/itsdata/transport-network/v1/diagrams/MicromobilityPathSegment.dot.svg,https://w3id.org/itsdata/transport-network/v1/MicromobilityPathSegment,2026-07-30T14:32:34.823307
,FootpathSection,FootpathSection,A contiguous section of a footpath.,Class,https://w3id.org/itsdata/transport-network/v1/diagrams/FootpathSection.dot.svg,https://w3id.org/itsdata/transport-network/v1/FootpathSection,2026-07-30T14:32:34.823307
,FootpathLane,FootpathLane,A lane or channel along a footpath.,Class,https://w3id.org/itsdata/transport-network/v1/diagrams/FootpathLane.dot.svg,https://w3id.org/itsdata/transport-network/v1/FootpathLane,2026-07-30T14:32:34.823307
,RailSection,RailSection,A contiguous section of a rail alignment.,Class,https://w3id.org/itsdata/transport-network/v1/diagrams/RailSection.dot.svg,https://w3id.org/itsdata/transport-network/v1/RailSection,2026-07-30T14:32:34.823307
,TravelledWaySection,TravelledWaySection,A linear feature that aggregates or references a contiguous portion of a travelled way.,Class,https://w3id.org/itsdata/transport-network/v1/diagrams/TravelledWaySection.dot.svg,https://w3id.org/itsdata/transport-network/v1/TravelledWaySection,2026-07-30T14:32:34.823307
,TransportNetwork,TransportNetwork,"A set of transport network elements (links, nodes, ways) modelled as an its-location:LocationGroup of member its-location:Feature resources.",Class,https://w3id.org/itsdata/transport-network/v1/diagrams/TransportNetwork.dot.svg,https://w3id.org/itsdata/transport-network/v1/TransportNetwork,2026-07-30T14:32:34.823307
,FootpathLink,FootpathLink,A directed footpath link between nodes.,Class,https://w3id.org/itsdata/transport-network/v1/diagrams/FootpathLink.dot.svg,https://w3id.org/itsdata/transport-network/v1/FootpathLink,2026-07-30T14:32:34.823307
,TrackLink,TrackLink,A directed rail track link between nodes.,Class,https://w3id.org/itsdata/transport-network/v1/diagrams/TrackLink.dot.svg,https://w3id.org/itsdata/transport-network/v1/TrackLink,2026-07-30T14:32:34.823307
,MicromobilityPathSection,MicromobilityPathSection,A contiguous section of a micromobility path.,Class,https://w3id.org/itsdata/transport-network/v1/diagrams/MicromobilityPathSection.dot.svg,https://w3id.org/itsdata/transport-network/v1/MicromobilityPathSection,2026-07-30T14:32:34.823307
,FootpathNetwork,FootpathNetwork,A transport network for pedestrian paths.,Class,https://w3id.org/itsdata/transport-network/v1/diagrams/FootpathNetwork.dot.svg,https://w3id.org/itsdata/transport-network/v1/FootpathNetwork,2026-07-30T14:32:34.823307
